,sample,pitch_weighted,pitch_mean,pitch_median,pitch_std
0,01_sample_22967_p-10_f.wav,196.3264958169721,332.90278400367094,167.52681909510437,396.0050440823331
1,02_sample_22967_p-10_m.wav,142.34470599123688,291.85967294884466,106.66129674258718,425.23396481496906
2,03_sample_22967_p10_f.wav,359.72974158663635,454.0182547019731,363.44397049214984,353.7843594543683
3,04_sample_22967_p10_m.wav,249.22199487822226,360.4410379690174,240.7921557344637,369.23328726668245
4,05_sample_2994_p-10_f.wav,202.33791737484293,310.9071040223541,179.91676553935082,329.16252881248386
5,06_sample_2994_p-10_m.wav,165.9283985826567,275.97075480642644,116.14600912171534,328.4837477044902
6,07_sample_2994_p10_f.wav,380.8630534382837,440.92482495103326,393.22706990534823,260.50646538185356
7,08_sample_2994_p10_m.wav,280.8571478395866,357.7146016215786,261.89595866094396,295.73384589004746
8,09_sample_3913_p-10_f.wav,261.07019992362484,553.3163510693406,350.316545049076,537.6984207684052
9,10_sample_3913_p-10_m.wav,240.6989919309526,373.3689072689052,207.10743174045183,399.8098024730553
10,11_sample_3913_p10_f.wav,379.46510290000595,602.0160933138437,435.16173461213066,497.38442046875906
11,12_sample_3913_p10_m.wav,292.5490375454518,378.37085761672813,268.1856292182659,307.84455953319934
12,13_sample_4382_p-10_f.wav,222.6877261104952,361.96107139124194,184.82491418322581,393.8487491511948
13,14_sample_4382_p-10_m.wav,150.33947748561314,352.8274654745969,132.86612165048246,405.39288779788103
14,15_sample_4382_p10_f.wav,385.35093632975816,492.61503795962113,422.252502185419,348.03906807084854
15,16_sample_4382_p10_m.wav,275.41744088918904,413.22841955278125,298.70306753743336,368.5712146843281
16,17_sample_5213_p-10_f.wav,206.62134199373193,373.39443964657755,183.54345132865268,480.95919987447206
17,18_sample_5213_p-10_m.wav,162.98279786307242,350.87347440519454,121.12617663793003,449.1220801980649
18,19_sample_5213_p10_f.wav,373.46602240866,509.23994579447816,368.9481430340786,433.79923514710515
19,20_sample_5213_p10_m.wav,265.9528152065761,429.4083244563179,271.495566505596,435.48045902080554
20,21_sample_6037_p-10_f.wav,198.28566360198658,370.8076475012946,183.18793736377313,424.72397413504547
21,22_sample_6037_p-10_m.wav,151.41772490754087,402.9321100696131,136.747285387349,499.56712286265594
22,23_sample_6037_p10_f.wav,355.4298149162833,499.54011736391465,357.22407224290794,436.45337055898096
23,24_sample_6037_p10_m.wav,267.3661042142585,477.7838095137638,272.9106643345169,495.91949781137026
24,25_sample_60c5d6bf5659ea5e55def51c_p-10_f.wav,186.62721020795814,301.8396530827595,165.8467432217846,384.0546523190589
25,26_sample_60c5d6bf5659ea5e55def51c_p-10_m.wav,132.23821221438178,273.9011350684477,107.34122965138175,409.4166993744092
26,27_sample_60c5d6bf5659ea5e55def51c_p10_f.wav,363.51784589700065,446.5561716256685,351.82406225736884,351.34386562510383
27,28_sample_60c5d6bf5659ea5e55def51c_p10_m.wav,240.8344995054811,341.6979419483644,230.21861755680197,367.3469681844473
28,29_sample_60c5d6bf5659ea5e55defbed_p-10_f.wav,203.1633857360342,292.92083023341877,177.49195400833935,316.8870685822867
29,30_sample_60c5d6bf5659ea5e55defbed_p-10_m.wav,135.76378030605298,224.63085563596405,106.08448789689815,294.03827303406945
30,31_sample_60c5d6bf5659ea5e55defbed_p10_f.wav,367.4330701231207,423.1690350785195,358.8880182257843,268.0779775059099
31,32_sample_60c5d6bf5659ea5e55defbed_p10_m.wav,239.56741921325303,310.0444054282751,234.34175094085845,272.6079448302944
32,33_sample_60c5d6bf5659ea5e55defd2b_p-10_f.wav,201.86430097004182,312.48808443790375,181.16664421663702,340.70440706130694
33,34_sample_60c5d6bf5659ea5e55defd2b_p-10_m.wav,147.83821918394312,280.0400250876869,117.52346331643132,370.6655388441718
34,35_sample_60c5d6bf5659ea5e55defd2b_p10_f.wav,364.8346058931698,437.5728564542495,367.70603067998985,294.70297484536917
35,36_sample_60c5d6bf5659ea5e55defd2b_p10_m.wav,251.71630826188866,347.35897218668225,242.65654659271064,354.967892838042
36,37_sample_7699_p-10_f.wav,198.028849347958,349.72761659082664,179.44055386108266,421.00763629241123
37,38_sample_7699_p-10_m.wav,147.90113581613988,308.7155923341897,119.6978646927078,415.6435796715541
38,39_sample_7699_p10_f.wav,355.2802960547483,464.2565675945432,352.4093789880344,364.43332058565045
39,40_sample_7699_p10_m.wav,236.9763182747345,372.592222535474,231.2252941706643,376.45945129618366
40,41_sample_7809_p-10_f.wav,194.45745871190982,303.79583864208536,172.18294417834136,320.86032383362414
41,42_sample_7809_p-10_m.wav,127.23376755839473,253.14502521618277,103.38840423348323,345.1161447140598
42,43_sample_7809_p10_f.wav,374.83484023126334,443.08764838992124,358.32192663806075,313.93080723614224
43,44_sample_7809_p10_m.wav,238.9098823080781,321.9612598747609,220.55824963064418,289.621821945533
44,45_sample_9064_p-10_f.wav,203.1037612852056,341.51526818393654,172.39713034607507,395.8268075580665
45,46_sample_9064_p-10_m.wav,165.5527280392079,295.31746789142073,112.05105304440264,381.6517004398491
46,47_sample_9064_p10_f.wav,370.60266590407025,451.89477028527807,379.9771992461262,343.43878330735885
47,48_sample_9064_p10_m.wav,263.6580809011482,374.8085042436387,243.41783284515475,366.4474325756373
48,49_sample_9093_p-10_f.wav,211.74204414820463,354.6349944911342,192.4996154941254,395.5453313653304
49,50_sample_9093_p-10_m.wav,154.02106885499418,313.608614950378,125.31645999126658,378.8939681635306
50,51_sample_9093_p10_f.wav,376.7664242124385,439.29931847008385,386.0319497621375,296.2656521129147
51,52_sample_9093_p10_m.wav,267.35335984908374,371.22195298848646,259.96572310619445,351.3881965521297
